Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002132,SW-LPA,"-1,050.00",VNG-S,ปณชัยใหม่,2017-04-26
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000416,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-04-22
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000417,SW-LMA,-124,VNG-S,M.K - ใบชั่วคราว,2017-04-24
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000418,SW-LMA,-142,VNG-S,M.K - ใบชั่วคราว,2017-04-25
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000419,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-04-24
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000420,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-04-25
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002142,SW-LPA,-70,VNG-S,โกดังสยามวู๊ด,2017-04-22
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002143,SW-LPA,-70,VNG-S,โกดังสยามวู๊ด,2017-04-22
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002144,SW-LPA,-70,VNG-S,ฟอร์จูน - ใบชั่วคราว,2017-04-26
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002145,SW-LPA,-70,VNG-S,ฟอร์จูน - ใบชั่วคราว,2017-04-27
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002146,SW-LPA,-70,VNG-S,ฟอร์จูน - ใบชั่วคราว,2017-04-28
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002147,SW-LPA,-70,VNG-S,ธนพล - ใบชั่วคราว,2017-04-28
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002155,SW-LPA,-85,VNG-S,เมโทรท๊อป (พระนั่งเกล้า),2017-04-22
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002162,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-22
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002164,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-24
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002165,SW-LPA,-70,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-24
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002169,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-24
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002170,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-24
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002171,SW-LPA,-70,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002177,SW-LPA,-60,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002177,SW-LPA,-840,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002178,SW-LPA,-60,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002178,SW-LPA,-840,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002179,SW-LPA,-510,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002179,SW-LPA,-490,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002180,SW-LPA,-120,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002180,SW-LPA,-60,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-21
บจก.เอ-ลิส ลิฟวิ่ง,Sales order,On order,1BJSK0040189580351VF,VSDB17000068,SW-LBA,"-1,080.00",VNG-S,โกดังบุญสิริ 8,2017-04-24
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002184,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-25
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002185,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-26
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002186,SW-LPA,"-1,050.00",VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-26
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002187,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002187,SW-LPA,-910,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002188,SW-LPA,-70,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002188,SW-LPA,-980,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002190,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-25
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002191,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-26
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002192,SW-LPA,"-1,050.00",VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-26
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002193,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002193,SW-LPA,-910,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002194,SW-LPA,-70,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-27
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580033BO,VSDB17000069,SW-LBA,-500,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580025BO,VSDB17000069,SW-LBA,-500,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580351BO,VSDB17000070,SW-LBA,-580,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180028BO,VSDB17000071,SW-LBA,-372,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080025BO,VSDB17000071,SW-LBA,-864,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080028BO,VSDB17000071,SW-LBA,-144,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180025BO,VSDB17000071,SW-LBA,"-1,054.00",VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180351BO,VSDB17000071,SW-LBA,-620,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180028BO,VSDB17000072,SW-LBA,-62,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080025BO,VSDB17000072,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080033BO,VSDB17000072,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080028BO,VSDB17000072,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180025BO,VSDB17000072,SW-LBA,-62,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180351BO,VSDB17000072,SW-LBA,-62,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180028BO,VSDB17000073,SW-LBA,-186,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080025BO,VSDB17000073,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080351BO,VSDB17000073,SW-LBA,-144,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080033BO,VSDB17000073,SW-LBA,-48,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080351BO,VSDB17000073,SW-LBA,-144,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080028BO,VSDB17000073,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180025BO,VSDB17000074,SW-LBA,-62,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180351BO,VSDB17000074,SW-LBA,-186,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180033BO,VSDB17000074,SW-LBA,-62,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,3F20892053GGA30610CR,VSDF17000708,SW-L3A,"-1,920.00",VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,3F20892053GGA10670CR,VSDF17000709,SW-L3A,-960,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,3F20892053GGA10611CR,VSDF17000709,SW-L3A,-960,VNG-S,รับสินค้าที่โรงงาน,2017-04-29
บจก.วิวัฒน์ชัยค้าไม้,Sales order,On order,1BJSN3011256080028VF,VSDB17000066,SW-LBA,-28,VNG-S,รับสินค้าที่โรงงาน,2017-04-22
บจก.วิวัฒน์ชัยค้าไม้,Sales order,On order,1BJJT6020164080028VF,VSDB17000066,SW-LBA,-38,VNG-S,รับสินค้าที่โรงงาน,2017-04-22
บจก.วิวัฒน์ชัยค้าไม้,Sales order,On order,1BJEG5020163180028VF,VSDB17000067,SW-LBA,-54,VNG-S,รับสินค้าที่โรงงาน,2017-04-22
บจก.วิวัฒน์ชัยค้าไม้,Sales order,On order,1BJTS4020164080028VF,VSDB17000067,SW-LBA,-36,VNG-S,รับสินค้าที่โรงงาน,2017-04-22
บจก.วีอาร์ เดคคอร์ แอนด์ อินทีเรียร์,Sales order,On order,3F20892053GGA10630AZ,VSDF17000714,SW-L3A,"-8,640.00",VNG-S,โครงการ Aspire เอราวัณ,2017-04-28
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,4MBU1S4180012302450,VSDS17000442,SW-LMA,-56,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-24
บริษัท ควอลิตี้ลามิเนเตอร์ จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002202,SW-LPA,-660,VNG-S,ควอลิตี้คลอง 8,2017-04-25
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002203,SW-LPA,-70,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-25
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002203,SW-LPA,-980,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-25
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002204,SW-LPA,-700,VNG-S,H.T.บอร์ด + ไม้พื้นลามิเนต,2017-04-26
บจก.วีอาร์ เดคคอร์ แอนด์ อินทีเรียร์,Sales order,On order,3F20892053GGA10630AZ,VSDF17000715,SW-L3A,"-8,640.00",VNG-S,โครงการ Aspire เอราวัณ,2017-04-28
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002205,SW-LPA,-70,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-25
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002206,SW-LPA,-70,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-27
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002207,SW-LPA,-70,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-28
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002207,SW-LPA,-980,VNG-S,H.T.บอร์ด (ชลบุรี),2017-04-28
บริษัท โต๊ะจักรไทยประดิษฐ์ (1980) จำกัด,Sales order,On order,1PB01GG190012302450,VSDP17002214,SW-LPA,-660,VNG-S,บริษัท โต๊ะจักรไทยประดิษฐ์ (1980) จำกัด,2017-04-27
บริษัท โต๊ะจักรไทยประดิษฐ์ (1980) จำกัด,Sales order,On order,1PB01GG190012302450,VSDP17002215,SW-LPA,-660,VNG-S,ธนพล - ใบชั่วคราว,2017-04-27
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002216,SW-LPA,-55,VNG-S,ส่ง M.K - ให้ไม้หมอนเลย,2017-04-26
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002217,SW-LPA,-55,VNG-S,ส่ง M.K - ให้ไม้หมอนเลย,2017-04-26
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002218,SW-LPA,-55,VNG-S,ส่ง M.K - ให้ไม้หมอนเลย,2017-04-27
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002219,SW-LPA,-55,VNG-S,ส่ง M.K - ให้ไม้หมอนเลย,2017-04-27
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302000,VSDP17002220,SW-LPA,-140,VNG-S,โคราช,2017-04-25
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892053CGA10680AL,VSDF17000721,SW-L3A,"-5,312.00",VNG-S,อ่อนนุช 36,2017-04-27
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892053EGA30716AL,VSDF17000721,SW-L3A,"-3,360.00",VNG-S,อ่อนนุช 36,2017-04-27
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,3LP116021110330,VSDL17000559,SW-LUA,-65,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-04-24
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F21293053CGA10731AL,VSDF17000722,SW-LFA,"-5,950.00",VNG-S,ร่มเกล้า ซ.7,2017-04-28
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892051EGA20724BE,VSDF17000723,SW-L3A,"-4,008.00",VNG-S,อ่อนนุช 36,2017-04-28
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F21293053CGA20619AL,VSDF17000723,SW-LFA,"-2,821.00",VNG-S,อ่อนนุช 36,2017-04-28
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892053CGA20619AL,VSDF17000724,SW-LFA,"-3,112.00",VNG-S,อ่อนนุช 36,2017-04-29
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892053CGA20619AL,VSDF17000724,SW-L3A,"-2,416.00",VNG-S,อ่อนนุช 36,2017-04-29
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892053EGA10625AL,VSDF17000724,SW-L3A,"-3,032.00",VNG-S,อ่อนนุช 36,2017-04-29
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,3MBP2FU077006101980,VSDM17000541,,-500,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-24
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,3MBP2FS250012302450,VSDM17000541,,-240,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2024100O0501,VSDO17000191,SW-LAA,-670,VNG-S,รับเอง- Mr.zone  **ใบชั่วคราว**,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200O0701,VSDO17000191,SW-LAA,-670,VNG-S,รับเอง- Mr.zone  **ใบชั่วคราว**,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200O0117,VSDO17000191,SW-LAA,"-1,005.00",VNG-S,รับเอง- Mr.zone  **ใบชั่วคราว**,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200O0502,VSDO17000191,SW-LAA,-670,VNG-S,รับเอง- Mr.zone  **ใบชั่วคราว**,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200O0801,VSDO17000191,SW-LAA,"-2,345.00",VNG-S,รับเอง- Mr.zone  **ใบชั่วคราว**,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M9000,VSDO17000192,SW-LAA,-350,VNG-S,รับเอง-บุญเลิศเฟอร์ฯ (ลำปาง),2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000192,SW-LAA,-280,VNG-S,รับเอง-บุญเลิศเฟอร์ฯ (ลำปาง),2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5400,VSDO17000192,SW-LAA,-210,VNG-S,รับเอง-บุญเลิศเฟอร์ฯ (ลำปาง),2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M7100,VSDO17000192,SW-LAA,-210,VNG-S,รับเอง-บุญเลิศเฟอร์ฯ (ลำปาง),2017-04-24
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG150012302450,VSDP17002224,SW-LPA,-700,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-26
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG120012302450,VSDP17002226,SW-LPA,-850,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-26
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG180012302450,VSDP17002227,SW-LPA,-600,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-26
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17002225,SW-LPA,-840,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-26
บริษัท แม่ใหญ่ จำกัด,Sales order,On order,4MBP2S1046012352455,VSDS17000449,SW-LMA,-222,VNG-S,บริษัท แม่ใหญ่ จำกัด,2017-04-25
บจก.มิสเตอร์เทรดเดอร์,Sales order,On order,1BJSK0020159580028RW,VSDB17000075,SW-LBA,-600,VNG-S,รับสินค้าที่โรงงาน,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M9200,VSDO17000195,SW-LAA,-140,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000195,SW-LAA,-70,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5400,VSDO17000195,SW-LAA,-70,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25
บริษัท เอกวิวัฒน์ไม้อัด จำกัด,Sales order,On order,3LP209022210120,VSDL17000566,SW-LUA,-73,VNG-S,ส่ง ซ.นวมินทร์ 95,2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,3LPN16022210150,VSDL17000568,SW-LUA,-65,VNG-S,โฮมฮับ (อุบลฯ),2017-04-25
